timestamp,symbol,trendscore,supertrend,sma8,sma21
2026-01-26 23:10:12,CHZUSDT,90,buy,0.057041,0.05692
2026-01-26 23:10:12,CKBUSDT,55,sell,0.002422,0.002419
2026-01-26 23:10:12,CLANKERUSDT,100,buy,24.44,24.33
2026-01-26 23:10:13,CLOUSDT,85,buy,0.399537,0.3974
2026-01-26 23:10:13,COAIUSDT,80,sell,0.371525,0.370433
2026-01-26 23:10:15,COREUSDT,100,buy,0.110546,0.110365
2026-01-26 23:10:16,COTIUSDT,55,buy,0.018013,0.017971
2026-01-26 23:10:16,COWUSDT,85,buy,0.203086,0.202731
2026-01-26 23:10:16,CROSSUSDT,50,sell,0.122829,0.122778
2026-01-26 23:10:17,CRVUSDT,15,sell,0.35415,0.353986
2026-01-26 23:10:17,CTCUSDT,0,sell,0.254563,0.254843
2026-01-26 23:10:18,CTKUSDT,100,buy,0.24785,0.247695
2026-01-26 23:10:19,CVCUSDT,100,buy,0.043666,0.043639
2026-01-26 23:10:20,CVXUSDT,95,buy,2.095387,2.092143
2026-01-26 23:10:20,CYBERUSDT,45,sell,0.794137,0.792857
2026-01-26 23:10:21,CYSUSDT,55,sell,0.296325,0.296024
2026-01-26 23:10:21,DASHUSDT,100,buy,62.01375,61.692857
2026-01-26 23:10:21,DBRUSDT,70,sell,0.015522,0.015506
2026-01-26 23:10:22,DEEPUSDT,100,buy,0.039261,0.03914
2026-01-26 23:10:22,DEGENUSDT,85,buy,0.001039,0.001037
2026-01-26 23:10:23,DGBUSDT,65,buy,0.00581,0.005811
2026-01-26 23:10:24,DODOUSDT,95,buy,0.018066,0.018053
2026-01-26 23:10:24,DOGEUSDT,85,buy,0.122945,0.122682
2026-01-26 23:10:24,DOGUSDT,85,buy,0.001231,0.001226
2026-01-26 23:10:25,DOLOUSDT,100,buy,0.051701,0.051555
2026-01-26 23:10:25,DOODUSDT,55,buy,0.004834,0.004828
2026-01-26 23:10:26,DOTUSDT,95,buy,1.881587,1.8787
2026-01-26 23:10:26,DRIFTUSDT,95,buy,0.151404,0.151033
2026-01-26 23:10:26,DUSKUSDT,45,buy,0.168364,0.169655
2026-01-26 23:10:27,DYDXUSDT,90,buy,0.168073,0.167907
2026-01-26 23:10:28,EDENUSDT,55,sell,0.057572,0.057427
2026-01-26 23:10:28,EDUUSDT,25,sell,0.143941,0.14406
2026-01-26 23:10:29,EGLDUSDT,100,buy,5.852125,5.836048
2026-01-26 23:10:29,EIGENUSDT,90,buy,0.329387,0.32881
2026-01-26 23:10:29,ELSAUSDT,55,buy,0.13192,0.132907
2026-01-26 23:10:31,ENAUSDT,65,buy,0.169871,0.169696
2026-01-26 23:10:31,ENJUSDT,55,buy,0.027975,0.02795
2026-01-26 23:10:31,ENSOUSDT,55,sell,1.3983,1.390814
2026-01-26 23:10:32,ENSUSDT,55,buy,8.906875,8.888762
2026-01-26 23:10:32,EPICUSDT,55,buy,0.52845,0.527976
2026-01-26 23:10:32,EPTUSDT,100,buy,0.001941,0.001941
2026-01-26 23:10:33,ERAUSDT,85,buy,0.205991,0.20565
2026-01-26 23:10:33,ESUSDT,95,buy,0.142355,0.141613
2026-01-26 23:10:34,ETCUSDT,80,buy,11.429375,11.415238
2026-01-26 23:10:34,ETHBTCUSDT,95,buy,0.03313,0.033118
2026-01-26 23:10:34,ETHFIUSDT,100,buy,0.604338,0.603257
2026-01-26 23:10:35,ETHUSDT,85,buy,2939.43625,2934.350952
2026-01-26 23:10:35,EULUSDT,65,buy,1.8445,1.843576
2026-01-26 23:10:36,EVAAUSDT,95,buy,0.821213,0.81831
2026-01-26 23:10:36,FARTCOINUSDT,100,buy,0.29365,0.292419
2026-01-26 23:10:36,FFUSDT,15,sell,0.091262,0.091222
2026-01-26 23:10:37,FHEUSDT,5,sell,0.14127,0.142809
2026-01-26 23:10:37,FIDAUSDT,100,buy,0.025745,0.025695
2026-01-26 23:10:38,FIGHTUSDT,65,buy,0.023703,0.023735
2026-01-26 23:10:38,FILUSDT,90,buy,1.28345,1.281414
2026-01-26 23:10:39,FLOCKUSDT,85,buy,0.076433,0.076115
2026-01-26 23:10:39,FLOWUSDT,25,sell,0.071522,0.071601
2026-01-26 23:10:40,FLRUSDT,70,sell,0.010504,0.010496
2026-01-26 23:10:40,FLUIDUSDT,55,sell,2.9605,2.955238
2026-01-26 23:10:40,FLUXUSDT,25,sell,0.100302,0.100247
2026-01-26 23:10:41,FOGOUSDT,15,sell,0.037081,0.037092
2026-01-26 23:10:41,FOLKSUSDT,0,sell,2.463625,2.469429
2026-01-26 23:10:41,FORMUSDT,95,buy,0.314775,0.313967
2026-01-26 23:10:42,FUSDT,55,sell,0.006557,0.006537
2026-01-26 23:10:42,GALAUSDT,90,buy,0.006113,0.006103
2026-01-26 23:10:42,GASUSDT,35,buy,2.023388,2.029276
2026-01-26 23:10:43,GIGAUSDT,15,sell,0.00331,0.003309
2026-01-26 23:10:44,GIGGLEUSDT,95,buy,48.15,47.91381
2026-01-26 23:10:44,GLMUSDT,55,buy,0.228633,0.22881
2026-01-26 23:10:45,GMTUSDT,100,buy,0.01603,0.016005
2026-01-26 23:10:45,GMXUSDT,95,buy,7.312375,7.301952
2026-01-26 23:10:46,GOATUSDT,25,sell,0.030731,0.030645
2026-01-26 23:10:46,GODSUSDT,100,buy,0.054322,0.054248
2026-01-26 23:10:47,GPSUSDT,65,sell,0.007663,0.007648
2026-01-26 23:10:47,GRASSUSDT,100,buy,0.266563,0.266052
2026-01-26 23:10:47,GRIFFAINUSDT,100,buy,0.013932,0.013888
2026-01-26 23:10:48,GRTUSDT,80,buy,0.036306,0.036251
2026-01-26 23:10:48,GUNUSDT,40,buy,0.029285,0.029344
2026-01-26 23:10:48,HAEDALUSDT,65,sell,0.038594,0.03853
2026-01-26 23:10:49,HANAUSDT,100,buy,0.025045,0.024845
2026-01-26 23:10:49,HBARUSDT,90,buy,0.107376,0.107234
2026-01-26 23:10:49,HEIUSDT,95,buy,0.140901,0.140469
2026-01-26 23:10:50,HEMIUSDT,65,buy,0.014839,0.014748
2026-01-26 23:10:50,HFTUSDT,65,buy,0.02577,0.025765
2026-01-26 23:10:51,HIGHUSDT,55,sell,0.206426,0.206306
2026-01-26 23:10:51,HIPPOUSDT,95,buy,0.000994,0.000992
2026-01-26 23:10:51,HIVEUSDT,35,buy,0.095185,0.095553
2026-01-26 23:10:52,HMSTRUSDT,20,buy,0.000249,0.000252
2026-01-26 23:10:53,HNTUSDT,45,sell,1.117363,1.115686
2026-01-26 23:10:53,HOLOUSDT,55,sell,0.069704,0.069403
2026-01-26 23:10:54,HOMEUSDT,0,sell,0.030517,0.03057
2026-01-26 23:10:54,HPOS10IUSDT,85,buy,0.032177,0.032027
2026-01-26 23:10:55,HUMAUSDT,80,buy,0.02437,0.024309
2026-01-26 23:10:55,HUSDT,45,buy,0.159301,0.15952
2026-01-26 23:10:55,HYPERUSDT,95,buy,0.124816,0.124511
2026-01-26 23:10:56,HYPEUSDT,100,buy,25.70625,25.573238
2026-01-26 23:10:56,ICNTUSDT,55,sell,0.36905,0.367529
2026-01-26 23:10:56,ICPUSDT,80,buy,3.360125,3.357095
2026-01-26 23:10:57,IDEXUSDT,85,buy,0.009253,0.009245
2026-01-26 23:10:58,IMXUSDT,65,buy,0.2394,0.239129
2026-01-26 23:10:59,INITUSDT,55,sell,0.088894,0.088752
2026-01-26 23:10:59,INJUSDT,80,buy,4.46825,4.460048
2026-01-26 23:11:00,INUSDT,55,sell,0.066249,0.066157
2026-01-26 23:11:00,IOTAUSDT,30,sell,0.086714,0.086665
2026-01-26 23:11:02,IOTXUSDT,60,sell,0.007689,0.007677
2026-01-26 23:11:02,IOUSDT,25,sell,0.155348,0.155108
2026-01-26 23:11:02,IPUSDT,65,buy,2.17825,2.179214
2026-01-26 23:11:03,IRYSUSDT,35,buy,0.044718,0.044909
2026-01-26 23:11:03,JASMYUSDT,50,sell,0.006809,0.006802
2026-01-26 23:11:04,JELLYJELLYUSDT,60,buy,0.059624,0.059616
2026-01-26 23:11:04,JSTUSDT,0,sell,0.046412,0.046439
2026-01-26 23:11:05,JTOUSDT,95,buy,0.3403,0.339729
2026-01-26 23:11:05,JUPUSDT,50,sell,0.191744,0.191563
2026-01-26 23:11:06,KAIAUSDT,95,buy,0.072918,0.072874
2026-01-26 23:11:06,KAITOUSDT,65,buy,0.412262,0.412048
2026-01-26 23:11:06,KASUSDT,100,buy,0.04026,0.04015
2026-01-26 23:11:07,KAVAUSDT,50,sell,0.077817,0.077773
2026-01-26 23:11:07,KERNELUSDT,95,buy,0.076409,0.076191
2026-01-26 23:11:07,KGENUSDT,20,sell,0.307593,0.307689
2026-01-26 23:11:08,KITEUSDT,25,sell,0.115224,0.115211
2026-01-26 23:11:09,KMNOUSDT,95,buy,0.04112,0.04105
2026-01-26 23:11:09,KNCUSDT,0,sell,0.21439,0.214925
2026-01-26 23:11:10,KSMUSDT,25,sell,6.762125,6.752857
2026-01-26 23:11:10,L3USDT,80,buy,0.011437,0.011412
2026-01-26 23:11:11,LABUSDT,25,sell,0.153911,0.153954
2026-01-26 23:11:11,LAUSDT,65,buy,0.309225,0.308871
2026-01-26 23:11:12,LDOUSDT,90,buy,0.518838,0.518643
2026-01-26 23:11:12,LIGHTUSDT,90,buy,0.42275,0.4223
2026-01-26 23:11:12,LINEAUSDT,95,buy,0.006255,0.006204
2026-01-26 23:11:13,LINKUSDT,90,buy,12.022875,12.005571
2026-01-26 23:11:13,LITUSDT,90,buy,1.749425,1.743052
2026-01-26 23:11:14,LPTUSDT,55,buy,3.29475,3.291905
2026-01-26 23:11:14,LQTYUSDT,65,buy,0.336062,0.335457
2026-01-26 23:11:14,LRCUSDT,90,buy,0.048164,0.048113
2026-01-26 23:11:15,LSKUSDT,25,sell,0.178275,0.178328
2026-01-26 23:11:15,LTCUSDT,90,buy,69.92,69.879524
2026-01-26 23:11:16,LUNA2USDT,50,sell,0.07987,0.079769
2026-01-26 23:11:16,LYNUSDT,85,buy,0.112109,0.11044
2026-01-26 23:11:16,MAGICUSDT,90,buy,0.090485,0.09043
2026-01-26 23:11:17,MAGMAUSDT,85,buy,0.093618,0.093531
2026-01-26 23:11:17,MANAUSDT,50,sell,0.145625,0.14555
2026-01-26 23:11:18,MANTAUSDT,45,sell,0.078166,0.078034
2026-01-26 23:11:18,MASKUSDT,5,sell,0.634888,0.635352
2026-01-26 23:11:18,MAVIAUSDT,100,buy,0.05299,0.052896
2026-01-26 23:11:19,MAVUSDT,25,sell,0.025539,0.025508
2026-01-26 23:11:19,MELANIAUSDT,0,sell,0.169455,0.16993
2026-01-26 23:11:21,MEMEUSDT,50,sell,0.001051,0.001051
2026-01-26 23:11:21,MERLUSDT,30,buy,0.095321,0.095373
2026-01-26 23:11:21,METISUSDT,25,sell,4.771375,4.763
2026-01-26 23:11:22,METUSDT,25,sell,0.236712,0.236667
2026-01-26 23:11:22,MEUSDT,25,sell,0.209466,0.209234
2026-01-26 23:11:23,MEWUSDT,25,sell,0.000894,0.000893
2026-01-26 23:11:23,MINAUSDT,50,sell,0.085727,0.085644
2026-01-26 23:11:23,MIRAUSDT,95,buy,0.127861,0.126795
2026-01-26 23:11:24,MITOUSDT,25,sell,0.064679,0.064566
2026-01-26 23:11:24,MLNUSDT,50,sell,4.671875,4.663238
2026-01-26 23:11:24,MMTUSDT,0,sell,0.214861,0.215009
2026-01-26 23:11:25,MNTUSDT,90,buy,0.868337,0.867686
2026-01-26 23:11:25,MOCAUSDT,100,buy,0.022399,0.022354
2026-01-26 23:11:26,MONUSDT,100,buy,0.018908,0.018865
2026-01-26 23:11:26,MOODENGUSDT,50,sell,0.068964,0.068791
