data,symbol,tipo,preco,volume,extra
2026-01-22 14:00:39,NIGHTUSDT,SMA2_baixa,0.05784,6424880.0,-3.53376309029836
2026-01-22 14:00:39,PENDLEUSDT,SMA2_alta,2.1119,262455.0,3.928362859893702
2026-01-22 14:00:39,PIPPINUSDT,SMA2_alta,0.3818,3483645.0,7.426008381351481
2026-01-22 14:00:39,PLUMEUSDT,SMA2_alta,0.0152,3659341.0,2.526550751879694
2026-01-22 14:00:39,RIVERUSDT,SMA2_alta,51.246,585485.8,5.581492539255086
2026-01-22 14:00:39,ROSEUSDT,SMA2_alta,0.02039,82850531.0,2.9893855531423013
2026-01-22 14:00:40,SANDUSDT,SMA2_alta,0.15759,10063649.0,6.103277341141411
2026-01-22 14:00:40,SCRTUSDT,SMA2_alta,0.18304,2609957.2,7.479727303946058
2026-01-22 14:00:40,SENTUSDT,SMA2_alta,0.027675,98122030.0,5.588032864455624
2026-01-22 14:00:40,SIRENUSDT,SMA2_alta,0.08144,564318.0,3.029691739171099
2026-01-22 14:00:40,SKYUSDT,SMA2_alta,0.06588,1233440.0,2.196363518084822
2026-01-22 14:07:03,0GUSDT,SMA2_alta,0.8041,5401715.8,2.5013176517964473
2026-01-22 14:07:04,ARCUSDT,SMA2_baixa,0.06516,6087981.0,-8.47273378350727
2026-01-22 14:07:05,ALCHUSDT,SMA2_alta,0.12542,5294204.0,8.54281993454374
2026-01-22 14:07:05,ATHUSDT,SMA2_alta,0.00875,12865710.0,2.0981632653061166
2026-01-22 14:07:06,AXSUSDT,SMA2_alta,2.4928,5500494.9,3.8775960480469394
2026-01-22 14:07:06,BERAUSDT,SMA2_baixa,0.8039,2110797.0,-5.659537729757906
2026-01-22 14:07:06,BREVUSDT,SMA2_baixa,0.2337,841831.0,-2.52205717545899
2026-01-22 14:07:06,CCUSDT,SMA2_alta,0.14992,1678535.0,4.052240560044734
2026-01-22 14:07:06,CLOUSDT,SMA2_baixa,0.584,191523.0,-8.099315068493153
2026-01-22 14:07:07,DASHUSDT,SMA2_baixa,64.04,33294.12,-3.37595922191486
2026-01-22 14:07:07,CYSUSDT,SMA2_baixa,0.4193,288965.0,-5.698982431035842
2026-01-22 14:07:07,EDUUSDT,SMA2_alta,0.16513,135754.5,2.6250601978816235
2026-01-22 14:07:07,DUSKUSDT,SMA2_baixa,0.17811,17893399.0,-9.885778184161204
2026-01-22 14:07:08,FLOWUSDT,SMA2_baixa,0.07905,7931793.6,-2.517544652269526
2026-01-22 14:07:08,ICNTUSDT,SMA2_alta,0.389,1011439.0,4.471783572040636
2026-01-22 14:07:08,IMXUSDT,SMA2_alta,0.2483,430975.1,2.576328558003951
2026-01-22 14:07:09,KAITOUSDT,SMA2_baixa,0.4181,2050431.0,-2.1113085272377425
2026-01-22 14:07:09,KGENUSDT,SMA2_alta,0.3387,2275150.0,9.505286318838122
2026-01-22 14:07:09,KITEUSDT,SMA2_alta,0.11045,877885.0,2.1919528336458947
2026-01-22 14:07:09,LITUSDT,SMA2_alta,1.802,1368056.9,2.5470376829977255
2026-01-22 14:07:09,MANAUSDT,SMA2_alta,0.16396,2339999.2,3.743690389061215
2026-01-22 14:07:09,MINAUSDT,SMA2_alta,0.08939,3322916.1,4.335003382715655
2026-01-22 14:07:10,NIGHTUSDT,SMA2_baixa,0.05768,7444460.0,-3.5650303810844832
2026-01-22 14:07:10,PENDLEUSDT,SMA2_alta,2.1066,274474.0,3.918777945052511
2026-01-22 14:07:10,PIPPINUSDT,SMA2_alta,0.38323,3708921.0,7.427172914934831
2026-01-22 14:07:10,PLUMEUSDT,SMA2_alta,0.015168,4057799.0,2.515555932288526
2026-01-22 14:07:10,RIVERUSDT,SMA2_alta,50.246,696980.9,5.538571656023787
2026-01-22 14:07:10,ROSEUSDT,SMA2_alta,0.02036,90202366.0,2.982388436710628
2026-01-22 14:07:11,SANDUSDT,SMA2_alta,0.15752,11188423.0,6.102550847662585
2026-01-22 14:07:11,SCRTUSDT,SMA2_alta,0.18665,3146073.2,7.48472440141339
2026-01-22 14:07:11,SENTUSDT,SMA2_alta,0.030942,138613370.0,5.815046430956836
2026-01-22 14:07:11,SIRENUSDT,SMA2_alta,0.08105,641800.0,3.0070356335007777
2026-01-22 14:07:11,SKYUSDT,SMA2_alta,0.06641,1334340.0,2.240590559367855
2026-01-22 14:14:33,0GUSDT,SMA2_alta,0.8012,5680459.3,2.4823627653757443
2026-01-22 14:14:34,ARCUSDT,SMA2_baixa,0.06531,6671479.0,-8.435501746250491
2026-01-22 14:14:35,ALCHUSDT,SMA2_alta,0.12543,6683258.0,8.542755777269056
2026-01-22 14:14:36,ATHUSDT,SMA2_alta,0.008707,13858870.0,2.07031015001612
2026-01-22 14:14:36,AXSUSDT,SMA2_alta,2.5162,6120383.0,3.913497677904322
2026-01-22 14:14:37,BREVUSDT,SMA2_baixa,0.2337,921172.0,-2.52205717545899
2026-01-22 14:14:37,CCUSDT,SMA2_alta,0.14821,1951745.0,4.009714337121395
2026-01-22 14:14:37,BERAUSDT,SMA2_baixa,0.7996,2330169.0,-5.731586031110787
2026-01-22 14:14:37,CLOUSDT,SMA2_baixa,0.583,247620.0,-8.126480437801197
2026-01-22 14:14:38,DUSKUSDT,SMA2_baixa,0.1816,19537522.0,-9.54708149779736
2026-01-22 14:14:38,EDUUSDT,SMA2_alta,0.16655,195608.0,2.6686537719260612
2026-01-22 14:14:38,DASHUSDT,SMA2_baixa,64.21,37470.44,-3.346534066048174
2026-01-22 14:14:38,CYSUSDT,SMA2_baixa,0.4183,300579.0,-5.731105495030899
2026-01-22 14:14:39,FLOWUSDT,SMA2_baixa,0.07894,8337844.6,-2.531835510996918
2026-01-22 14:14:39,ICNTUSDT,SMA2_alta,0.392,1121939.0,4.496780855199201
2026-01-22 14:14:39,IMXUSDT,SMA2_alta,0.2483,565623.6,2.576328558003951
2026-01-22 14:14:40,KAITOUSDT,SMA2_baixa,0.4184,2140394.0,-2.1042463352453797
2026-01-22 14:14:40,KITEUSDT,SMA2_alta,0.11063,907991.0,2.200976657498381
2026-01-22 14:14:40,KGENUSDT,SMA2_alta,0.3398,2705707.0,9.49956557078392
2026-01-22 14:14:40,LITUSDT,SMA2_alta,1.8035,1577736.3,2.5513551691816203
2026-01-22 14:14:40,MANAUSDT,SMA2_alta,0.1638,2669175.1,3.7397886505029363
2026-01-22 14:14:41,MINAUSDT,SMA2_alta,0.08929,3488040.9,4.331192102779075
2026-01-22 14:14:42,NIGHTUSDT,SMA2_baixa,0.05769,8646530.0,-3.563071094272361
2026-01-22 14:14:42,PIPPINUSDT,SMA2_alta,0.38374,4092139.0,7.427586138432017
2026-01-22 14:14:42,PLUMEUSDT,SMA2_alta,0.015151,4403262.0,2.5096960439512093
2026-01-22 14:14:42,PENDLEUSDT,SMA2_alta,2.1194,314233.0,3.9418445022625246
2026-01-22 14:14:43,RIVERUSDT,SMA2_alta,51.392,773927.1,5.587619251467711
2026-01-22 14:14:43,ROSEUSDT,SMA2_alta,0.020171,98088034.0,2.93782799917844
2026-01-22 14:14:43,SCRTUSDT,SMA2_alta,0.18708,3457643.1,7.485306769703818
2026-01-22 14:14:43,SANDUSDT,SMA2_alta,0.15776,13731090.0,6.105038998357966
2026-01-22 14:14:43,SENTUSDT,SMA2_alta,0.030164,223184460.0,5.76544651145168
2026-01-22 14:14:43,SIRENUSDT,SMA2_alta,0.08154,755881.0,3.0354660873424644
2026-01-22 14:14:43,SKYUSDT,SMA2_alta,0.06643,1441570.0,2.2422456864727014
2026-01-22 14:24:36,0GUSDT,SMA2_alta,0.803,5924073.2,2.4941439838700186
2026-01-22 14:24:37,A2ZUSDT,SMA2_alta,0.001411,9970900.0,2.2614407208666703
2026-01-22 14:24:37,AERGOUSDT,SMA2_baixa,0.06245,1125405.0,-3.6906668191696412
2026-01-22 14:24:37,AIOUSDT,SMA2_baixa,0.15996,173570.0,-2.5419301253884754
2026-01-22 14:24:38,ALCHUSDT,SMA2_alta,0.12356,7436110.0,8.554933789637573
2026-01-22 14:24:38,AGLDUSDT,SMA2_alta,0.2839,97598.3,3.02546168167867
2026-01-22 14:24:38,ARCUSDT,SMA2_baixa,0.06535,7221776.0,-8.4256020694429
2026-01-22 14:24:39,ATHUSDT,SMA2_alta,0.008698,14781220.0,2.06444557588498
2026-01-22 14:24:39,AVAAIUSDT,SMA2_baixa,0.009533,3133946.0,-2.849375352784559
2026-01-22 14:24:39,ARIAUSDT,SMA2_baixa,0.08714,94918.0,-3.029129370361855
2026-01-22 14:24:39,ARPAUSDT,SMA2_baixa,0.015074,10715390.0,-2.2016385829905833
2026-01-22 14:24:39,AXSUSDT,SMA2_alta,2.4946,6720211.1,3.8803816243085056
2026-01-22 14:24:40,BANANAS31USDT,SMA2_alta,0.004356,53749000.0,3.533167169530793
2026-01-22 14:24:40,BEATUSDT,SMA2_baixa,0.2602,3116590.0,-2.2544471285824095
2026-01-22 14:24:40,BERAUSDT,SMA2_baixa,0.7921,2773181.0,-5.85912372776405
2026-01-22 14:24:40,BLESSUSDT,SMA2_alta,0.008927,3419750.0,2.9322494092293634
2026-01-22 14:24:40,BIGTIMEUSDT,SMA2_alta,0.021583,3456258.0,3.2907568346339704
2026-01-22 14:24:41,BREVUSDT,SMA2_baixa,0.2351,1006244.0,-2.4609588624901364
2026-01-22 14:24:41,BRUSDT,SMA2_alta,0.05039,159303.0,2.9099216586813306
2026-01-22 14:24:41,BTRUSDT,SMA2_baixa,0.06505,12481395.0,-3.1678013249880754
2026-01-22 14:24:41,CCUSDT,SMA2_alta,0.14914,2509074.0,4.032963594449451
2026-01-22 14:24:41,CLOUSDT,SMA2_baixa,0.5809,319072.0,-8.183832148800297
2026-01-22 14:24:42,CLANKERUSDT,SMA2_baixa,28.68,4685.04,-8.655442651258568
2026-01-22 14:24:42,CUDISUSDT,SMA2_baixa,0.02822,72520.0,-2.788675711248346
2026-01-22 14:24:42,DASHUSDT,SMA2_baixa,64.52,41602.8,-3.29327561774864
2026-01-22 14:24:42,CYSUSDT,SMA2_baixa,0.4167,319792.0,-5.7828230884386445
2026-01-22 14:24:43,CTKUSDT,SMA2_baixa,0.2444,11159.6,-2.325909905697127
2026-01-22 14:24:43,DUSKUSDT,SMA2_baixa,0.17901,21303891.0,-9.797171480178008
2026-01-22 14:24:43,EDUUSDT,SMA2_alta,0.16665,286185.0,2.671695741002675
2026-01-22 14:24:43,DBRUSDT,SMA2_baixa,0.016548,1043690.0,-2.0147737606040637
2026-01-22 14:24:43,ENSOUSDT,SMA2_alta,0.6672,2000214.7,3.6971315804499207
2026-01-22 14:24:43,EPTUSDT,SMA2_baixa,0.0018694,5500490.0,-2.9454956263022964
2026-01-22 14:24:44,FHEUSDT,SMA2_baixa,0.12011,45975290.0,-18.540544183704633
2026-01-22 14:24:44,FLOWUSDT,SMA2_baixa,0.07898,8713643.8,-2.5266342292804596
2026-01-22 14:24:45,GUNUSDT,SMA2_alta,0.037379,155460001.0,7.510360413728632
2026-01-22 14:24:45,HANAUSDT,SMA2_alta,0.024071,89980920.0,10.141253751303179
2026-01-22 14:24:45,ICNTUSDT,SMA2_alta,0.3945,1234284.0,4.517321504013521
2026-01-22 14:24:46,IMXUSDT,SMA2_alta,0.2476,612745.0,2.561735518116804
2026-01-22 14:24:46,IOUSDT,SMA2_alta,0.15717,1306972.5,3.2911739487421756
